SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
ACAD9	82	76144	0.00107690691321706
ACADL	116	76153	0.00152324924822397
ACADM	99	76169	0.00129974136459715
ACADS	44	76171	0.00057764766118339
ACADSB	198	76167	0.00259955098664776
ACADVL	66	76168	0.000866505619157652
ACAN	21	76172	0.000275691855274904
ACAP1	41	76130	0.000538552476027847
ACAP2	8	76084	0.000105146942852637
ACAP3	18	76119	0.000236471840145036
ACAT1	40	76163	0.000525189396426086
ACAT2	29	76125	0.000380952380952381
ACBD3	5	76108	6.56961160456194e-05
ACBD3-AS1	2	76093	2.62836266148003e-05
ACBD4	38	76139	0.000499087195786653
ACBD5	28	76117	0.000367854749924458
ACBD6	24	76169	0.000315088815659914
ACBD7	41	76142	0.000538467600010507
ACBD7-DCLRE1CP1	15	76089	0.000197137562591176
ACCS	57	76178	0.000748247525532306
ACCSL	49	76160	0.000643382352941176
ACD	41	76169	0.000538276726752353
ACE	141	76175	0.00185100098457499
ACE2	7	56171	0.000124619465560521
ACE3P	371	76171	0.00487062005225086
ACER1	32	76151	0.000420217725308926
ACER2	20	76111	0.000262774106239571
ACER3	11	76089	0.000144567545900196
ACHE	5	76116	6.56892112039519e-05
ACIN1	7	76114	9.19673121896103e-05
ACKR1	14	76129	0.000183898383007789
ACKR2	429	76159	0.00563295211334182
ACKR3	5	76122	6.56840335251307e-05
ACKR4	69	76179	0.000905761430315441
ACLY	56	76151	0.00073538101929062
ACMSD	47	76140	0.000617283950617284
ACNATP	3	76072	3.94363234830161e-05
ACO1	91	76140	0.00119516679800368
ACO2	14	76128	0.000183900798654897
ACOD1	29	76130	0.000380927361092867
ACOT1	81	72659	0.00111479651522867
ACOT11	165	76186	0.00216575223794398
ACOT12	119	76187	0.00156194626379829
ACOT13	151	76171	0.00198238174633391
ACOT2	75	76150	0.000984898227183191
ACOT4	154	76168	0.00202184644470119
ACOT6	126	76157	0.00165447693580367
ACOT7	10	76120	0.000131371518654756
ACOT8	323	76167	0.0042406816600365
ACOT9	36	56742.5	0.000634445080847689
ACOX1	22	76106	0.000289070506924553
ACOX2	385	76164	0.00505488157134604
ACOX3	166	76184	0.00217893520949281
ACOXL	311	76185	0.00408216840585417
ACOXL-AS1	236	76165	0.00309853607299941
ACP1	35	76119	0.00045980635583757
ACP2	42	76141	0.000551608200575249
ACP3	245	76173	0.00321636275320652
ACP4	70	76186	0.000918803979733809
ACP5	26	76160	0.000341386554621849
ACP6	78	76173	0.00102398487653105
ACP7	99	76136	0.00130030471787328
ACR	135	76125	0.00177339901477833
ACRBP	111	76131	0.00145801316152421
ACRV1	34	76136	0.000446569297047389
ACSBG1	27	76159	0.000354521461678856
ACSBG2	600	76158	0.00787835815016151
ACSF2	61	76125	0.000801313628899836
ACSF3	134	76161	0.00175943067974423
ACSL1	26	76167	0.000341355180064858
ACSL3	24	76158	0.00031513432600646
ACSL3-AS1	7	76059	9.20338158534822e-05
ACSL4	5	56159.5	8.90321316963292e-05
ACSL5	27	76173	0.000354456303414596
ACSL6	18	76174	0.000236301100112899
ACSL6-AS1	2	76079	2.62884633078773e-05
ACSM1	210	76181	0.00275659285123587
ACSM2A	328	76157	0.00430689234082225
ACSM2B	373	76162	0.00489745542396471
ACSM3	137	76188	0.00179818344096183
ACSM4	191	76147	0.00250830630228374
ACSM5	128	76157	0.00168073847446722
ACSM5P1	21	76099	0.000275956320056768
ACSM6	215	76160	0.00282300420168067
ACSS1	20	76130	0.000262708524891633
ACSS2	41	76111	0.000538686917791121
ACSS3	48	76110	0.000630666141111549
ACTA1	17	76103	0.000223381469850072
ACTA2	7	76087	9.19999474286015e-05
ACTA2-AS1	3	76121	3.9410937848951e-05
ACTB	6	76143	7.87991016902407e-05
ACTBL2	187	76133	0.00245622791693484
ACTC1	7	76114	9.19673121896103e-05
ACTE1P	628	76144	0.00824753099390628
ACTG1	14	76165	0.000183811461957592
ACTG1P17	1	76055	1.31483794622313e-05
ACTG1P25	16	76117	0.000210202714242548
ACTG2	7	76165	9.1905730978796e-05
ACTL10	21	76175	0.000275680997702658
ACTL6A	1	76073	1.31452683606536e-05
ACTL6B	15	76135	0.000197018454061864
ACTL7A	45	76112	0.00059123397099012
ACTL7B	35	76176	0.000459462297836589
ACTL8	12	76123	0.000157639609579234
ACTL9	25	76183	0.000328157200425292
ACTN1	6	76162	7.87794438171267e-05
ACTN1-DT	3	76083	3.94306218209061e-05
ACTN2	13	76118	0.000170787461572821
ACTN3	285	76194	0.00374045200409481
ACTN4	1	75890	1.31769666622743e-05
ACTN4P2	10	76110	0.000131388779398239
ACTR10	27	76165	0.000354493533775356
ACTR1A	4	76111	5.25548212479142e-05
ACTR1B	31	76142	0.000407134039032334
ACTR3-AS1	4	76087	5.25713985306294e-05
ACTR3B	9	76105	0.000118257670323895
ACTR3BP4	1	76090	1.31423314495992e-05
ACTR3C	96	76182	0.0012601401905962
ACTR5	45	76173	0.000590760505690993
ACTR6	64	76153	0.000840413378330466
ACTR8	89	76141	0.00116888404407612
ACTRT1	222	56109	0.0039565845051596
ACTRT2	19	76110	0.000249638680856655
ACTRT3	16	76094	0.000210266249638605
ACVR1	17	76125	0.000223316912972085
ACVR1B	10	76133	0.000131349086467104
ACVR1C	5	76063	6.57349828431695e-05
ACVR2A	1	76153	1.31314590364135e-05
ACVR2B	9	76100	0.00011826544021025
ACVR2B-AS1	2	75703	2.64190322708479e-05
ACVRL1	4	76137	5.25368743186624e-05
ACY1	85	76176	0.00111583700903172
ACY3	35	76170	0.000459498490219246
ACYP1	4	76142	5.25334243912689e-05
ACYP2	34	76163	0.000446410986962173
ADA	38	76161	0.000498943028584183
ADA2	62	76163	0.000814043564460434
ADAD1	19	76119	0.000249609164597538
ADAD2	179	76180	0.00234969808348648
ADAL	321	76152	0.00421525370312008
ADAM10	7	76091	9.19951111169521e-05
ADAM11	15	76122	0.000197052100575392
ADAM12	29	76122	0.000380967394445758
ADAM15	105	76193	0.00137807935112149
ADAM17	32	76126	0.000420355726033156
ADAM18	382	76177	0.00501463696391299
ADAM19	36	76160	0.000472689075630252
ADAM2	847	76157	0.0111217616240136
ADAM20	306	76145	0.00401864863090157
ADAM20P1	33	76132	0.000433457678768455
ADAM21	98	76192	0.00128622427551449
ADAM22	31	76148	0.000407101959342333
ADAM23	18	76103	0.000236521556311841
ADAM28	179	76143	0.00235083986709218
ADAM29	798	76155	0.0104786291116801
ADAM30	112	76180	0.00147020215279601
ADAM32	112	76151	0.00147076203858124
ADAM33	209	76193	0.00274303413699421
ADAM3A	27	65250	0.000413793103448276
ADAM5	277	76180	0.00363612496718299
ADAM7	707	76149	0.00928442921115182
ADAM8	883	76178	0.0115912730709654
ADAM9	18	76128	0.000236443883984868
ADAMDEC1	143	76133	0.00187829193647958
ADAMTS1	29	76121	0.000380972399206526
ADAMTS10	10	76105	0.000131397411470994
ADAMTS12	128	76165	0.00168056193789798
ADAMTS13	75	76173	0.000984600842818321
ADAMTS14	133	76167	0.00174616303648562
ADAMTS15	32	76124	0.000420366770006831
ADAMTS16	38	76162	0.000498936477508469
ADAMTS16-DT	7	76095	9.19902753137525e-05
ADAMTS17	56	76178	0.000735120375961564
ADAMTS18	92	76141	0.0012082846298315
ADAMTS19	31	76100	0.000407358738501971
ADAMTS19-AS1	1	76089	1.31425041727451e-05
ADAMTS2	43	76195	0.000564341492223899
ADAMTS20	212	76167	0.0027833576220673
ADAMTS3	36	76146	0.000472775982980065
ADAMTS4	42	76135	0.000551651671373219
ADAMTS5	49	76179	0.000643221885296473
ADAMTS6	4	76151	5.25272156636157e-05
ADAMTS7	106	76183	0.00139138652980324
ADAMTS7P1	473	76166	0.00621012000105034
ADAMTS7P3	674	76188	0.00884653751246916
ADAMTS7P4	3	76056	3.94446197538656e-05
ADAMTS8	94	76165	0.00123416267314383
ADAMTS9	51	76135	0.000669862743810337
ADAMTS9-AS1	7	76065	9.20265562347992e-05
ADAMTS9-AS2	23	76131	0.000302110835270783
ADAMTSL1	49	76148	0.000643483742186269
ADAMTSL2	17	76135	0.000223287581270112
ADAMTSL3	63	76166	0.000827140718955965
ADAMTSL4	344	76174	0.00451597657993541
ADAMTSL4-AS1	1	75868	1.3180787683872e-05
ADAMTSL4-AS2	14	76161	0.000183821115794173
ADAMTSL5	94	76170	0.00123408165944598
ADAP1	9	76120	0.00011823436678928
ADAP2	120	76155	0.00157573370100453
ADAR	19	76121	0.00024960260637669
ADARB1	5	76165	6.564695069914e-05
ADARB2	12	76108	0.000157670678509487
ADAT1	74	76170	0.000971511093606407
ADAT2	40	76113	0.000525534402795843
ADAT3	52	76139	0.000682961425813315
ADCK1	80	76160	0.00105042016806723
ADCK2	600	76161	0.00787804781975027
