SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
AGPAT5	246	730942	0.00033655201096667
AGPS	93	730876	0.00012724456679382
AGR2	208	730931	0.000284568584449148
AGR3	2490	730916	0.00340668421542284
AGRN	979	730860	0.00133951782831185
AGRP	196	730943	0.000268146763837946
AGT	452	730947	0.000618375887718261
AGTPBP1	303	730926	0.000414542648640218
AGTR1	276	730934	0.000377599071872426
AGTR2	1521	549017.5	0.00277040349351341
AGTRAP	171	730938	0.000233945970793693
AGXT	571	730941	0.000781184801509287
AGXT2	934	730945	0.00127779791913208
AHCTF1	1875	730929	0.00256522863369766
AHCY	148	730946	0.000202477337587182
AHCYL1	46	730933	6.29332647451955e-05
AHCYL2	241	730927	0.000329718289240923
AHDC1	116	730688	0.000158754488920032
AHI1	2671	730832	0.00365473870875933
AHNAK	639	730947	0.000874208389937985
AHNAK2	5636	730852	0.00771154761839606
AHR	158	730946	0.000216158238775505
AHRR	404	730941	0.000552712188808673
AHSA1	46	730947	6.29320593695576e-05
AHSA2P	526	730366	0.000720186865215522
AHSG	498	730947	0.000681307947087819
AHSP	177	730946	0.000242151951033318
AICDA	87	730947	0.000119023677503294
AIDA	70	730890	9.57736458290577e-05
AIDAP3	59	145858	0.000404503009776632
AIF1	335	730941	0.000458313324878479
AIF1L	121	730918	0.000165545245841531
AIFM1	5	548957.5	9.10817321923828e-06
AIFM1P1	1	75951	1.31663835894195e-05
AIFM2	508	730942	0.00069499358362223
AIFM3	1136	730943	0.001554156753673
AIG1	177	730883	0.0002421728238309
AIM2	14720	730942	0.020138396753778
AIMP1	401	730911	0.000548630407806149
AIMP2	166	730947	0.000227102649029273
AIP	70	730932	9.57681425905556e-05
AIPL1	846	730945	0.0011574058239676
AIRE	3214	730386	0.00440041293233989
AIRN	1	76130	1.31354262445816e-05
AJAP1	47	730941	6.43006754307119e-05
AJM1	230	730064	0.000315040873128931
AJUBA	91	730941	0.000124497052429676
AJUBA-DT	19	730783	2.59995101144936e-05
AK1	68	730927	9.30325463418371e-05
AK2	244	730944	0.000333814902372822
AK3	365	730938	0.000499358358711683
AK3P2	2	452123	4.42357500060824e-06
AK4	76	730914	0.000103979401133375
AK4P3	15	689376	2.17588079654644e-05
AK5	115	730942	0.000157331224638891
AK6	309	730909	0.000422761246612095
AK7	618	730947	0.000845478536747534
AK8	1275	730947	0.00174431251513448
AK9	3856	730918	0.00527555758648713
AKAIN1	62	699679	8.86120635319911e-05
AKAP1	216	730947	0.000295507061387488
AKAP1-DT	22	76188	0.000288759384680002
AKAP10	141	730943	0.000192901498475257
AKAP11	152	730941	0.000207951120541877
AKAP12	328	730947	0.000448732945069889
AKAP13	397	730947	0.000543131034124225
AKAP14	38	549079	6.92067990216344e-05
AKAP17A	81	730832	0.000110832585327408
AKAP17BP	178	56126	0.00317143569825037
AKAP3	626	730941	0.000856430272757993
AKAP4	31	548819.5	5.64848734419969e-05
AKAP5	96	730935	0.000131338627921771
AKAP6	250	730939	0.000342025805162948
AKAP7	449	730891	0.000614318687738664
AKAP8	280	730947	0.000383064709206003
AKAP8L	157	730853	0.000214817480396195
AKAP9	1650	730947	0.00225734560782109
AKIP1	511	730932	0.000699107440911056
